"","SCORE","PARAMETER"
"CLINGEN+DECIPHER_hg19.BED",1.75903579709295,"2_ALL"
"CLINGEN_Pathogenic_hg19.BED",1.24834494374368,"4_B_USLB"
"CooperPaper_hg19.BED",0.925392257473859,"6_B"
"DECIPHER_hg19.BED",1.92076052872669,"2_ALL"
"HIgenes_hg19.BED",2.69010952715887,"2_ALL"
"MMS_hg19.BED",1.43953147093846,"2_ALL"
"MorbidMap_hg19.BED",2.22337570994309,"1_B_USLB"
"OMIM_AllGenes_hg19.BED",0.828932052171107,"10_ALL"
"OMIM_Dominant_hg19.BED",3.03807430492421,"1_B_USLB"
"OMIM_OMI_hg19.BED",1.40667490788551,"5_B_USLB"
"OMIM_Recessive_hg19.BED",1.78779229889261,"2_B_USLB"
"Primary_CNVs_10MB_hg19.BED",0.996416912315618,"3_B"
"Primary_CNVs_hg19.BED",0.996416912315618,"3_B"
"ReportedCNVs_hg19.BED",2.00243380995665,"1_ALL"
"AVERAGE",0.77712499762744,"6_B"
