"","CLINGEN+DECIPHER_hg19.BED","CLINGEN_Pathogenic_hg19.BED","CooperPaper_hg19.BED","DECIPHER_hg19.BED","HIgenes_hg19.BED","MMS_hg19.BED","MorbidMap_hg19.BED","OMIM_AllGenes_hg19.BED","OMIM_Dominant_hg19.BED","OMIM_OMI_hg19.BED","OMIM_Recessive_hg19.BED","Primary_CNVs_10MB_hg19.BED","Primary_CNVs_hg19.BED","ReportedCNVs_hg19.BED"
"1_ALL",0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,2.00243380995665
"1_B",-0.39498068465878,-0.195197807718888,-0.262602279586351,-0.312366634078593,1.88430442278242,-0.747499831035641,-0.170921215869397,-1.75903579709295,2.15768435752287,-0.943866064906536,-0.362917295139356,-0.615695908652189,-0.615695908652189,-0.795727436444596
"1_B_USLB",-0.299857682466335,-0.256429712211035,-0.414413329600076,-0.250266899613186,2.39397979981851,-0.0746713662454842,2.22337570994309,-1.13885915325206,3.03807430492421,-0.655874678260452,1.6565076970534,-0.378900295495245,-0.378900295495245,1.0212355417066
"2_ALL",1.75903579709295,-0.207378482624382,-0.274977748969005,1.92076052872669,2.69010952715887,1.43953147093846,-0.152780433250665,-0.871770972189959,2.51495487780253,-0.981816056982432,-0.724029508752976,-0.290506771123394,-0.290506771123394,1.68051507958823
"2_B",-0.763377834256938,0.0507511597935623,-0.47369939376565,-0.755415026360469,1.37527043422001,-0.812217801499913,1.26146084880548,-1.95996398454005,1.45655920621796,-0.845881152701223,1.47402005885852,-0.0417892978164538,-0.0417892978164538,-0.771389342081157
"2_B_USLB",-0.648492180592857,-0.324924656635631,-0.787562971432495,-0.50058010546674,1.81810805537489,-0.440570712370414,1.70553206071861,-1.23544034156125,1.8501931612293,-0.803945291387531,1.78779229889261,-0.531260757363575,-0.531260757363575,-0.663293096421277
"3_ALL",-0.356550191016388,-0.716294497365308,-0.604911058116862,-0.281181193308954,2.30034695572788,-0.562449907600316,-0.369299146167412,-1.03134096930983,2.10016549284447,-1.21023045177441,-0.916272840084521,-0.858754109904802,-0.858754109904802,-0.670748198631916
"3_B",-0.514156100744534,1.09433170746609,-0.17698036888207,-0.507356414285685,0.837376532793837,-0.541598336440453,-0.0328307909564054,-1.92076052872669,1.03134096930983,-0.700951419584212,1.27479742496553,0.996416912315618,0.996416912315618,-0.520979643293473
"3_B_USLB",-0.633831986092982,-0.306106171015401,-0.820546272450536,-0.434003754994411,1.56891963249893,-0.427455461020577,1.54880513230948,-1.19790916611399,1.61116916235268,-0.590639631256133,1.6334187682832,-0.735714009717459,-0.735714009717459,-0.64114485871392
"4_ALL",-0.693341543036817,-0.828932052171108,-0.93458929107348,-0.555472626284805,2.0488560762297,-0.837376532793837,-0.487095752684302,-1.16199352460522,1.95996398454005,-1.31623482602334,-0.678240768010268,-1.0570775623936,-1.0570775623936,-0.889360206987199
"4_B",-0.576487503231937,0.820546272450535,-0.0686878429885058,-0.569454678608957,-0.0149209600329004,-0.626552853724756,-0.0507511597935622,-1.88430442278242,0.527827529887845,-0.708602106764754,1.05187447784261,0.0716792838286317,0.0716792838286317,-0.583548957755558
"4_B_USLB",-0.467033108667135,1.24834494374368,-0.597760126042478,-0.460387514048248,1.04155283009049,-0.493826705042641,0.0328307909564052,-1.54880513230948,1.19790916611399,-0.685771607977826,1.28836467998942,-0.143729233705824,-0.143729233705824,-0.480386796699828
"5_ALL",-0.962667750494636,-0.880531536784675,-1.28836467998942,-0.907228993932597,1.73166439612225,-0.972197345412682,-0.388536501015838,-0.99152647467733,1.5103568962835,-1.01123334055287,-0.219590005119873,-1.25487591222712,-1.25487591222712,-1.00133129752569
"5_B",-0.331222811824447,0.812217801499913,0.845881152701223,-0.318639363964375,1.16199352460522,-0.343858928240001,1.16199352460522,-1.3305615131789,1.16199352460522,1.16199352460522,1.16199352460522,0.517564859736903,0.517564859736903,-0.337534133150046
"5_B_USLB",-0.23183436245301,0.803945291387531,-0.447156724676446,-0.225707953860159,1.40667490788551,-0.244113577670993,1.36006446833942,-1.37527043422001,1.40667490788551,1.40667490788551,1.34516663417664,0,0,-0.237969484917451
"6_ALL",-1.18576710453333,-0.898258749101569,-1.47402005885852,-1.08353408868362,1.49194224872763,-1.09433170746609,-0.453762190169879,-0.925392257473859,-0.164868331510602,-1.07286134165,-0.213480264529834,-1.39869400780818,-1.39869400780818,-1.22273825949407
"6_B",0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859,-1.15034938037601,0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859,0.925392257473859
"6_B_USLB",-0.104633455614075,-0.09263885303884,-0.548522282698098,-0.098634380488518,1.22273825949407,-0.116643131318069,1.12751734907213,-1.04155283009049,1.22273825949407,1.22273825949407,1.10525844382368,-0.125661346855074,-0.125661346855074,-0.110636298782113
"7_ALL",-1.42291118031099,-1.11631875983284,-1.8501931612293,-1.34516663417664,-0.0866466537991692,-1.36006446833942,-0.350197508854871,-0.953224786310633,-0.189118426272792,-1.10525844382368,0.854447398695989,-1.57921951928357,-1.57921951928357,-1.45655920621796
"7_B",0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,-0.404677904530048,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088
"7_B_USLB",0.0208900882468884,0.0447761766955164,-0.13468979400892,0.0268599608844502,1.07286134165,0.00895236341744226,1.01123334055287,-1.0212355417066,1.07286134165,1.07286134165,0.863076808299779,-0.0238749182045244,-0.0238749182045244,0.0149209600329004
"8_ALL",-1.7877922988926,-1.27479742496553,-2.10016549284447,-1.5292984400032,-0.183046026469932,-1.6565076970534,-0.201284412096082,-0.779450669808149,-0.15882148153414,-1.12751734907213,1.58968972049015,-1.62219358531543,-1.62219358531543,-1.81810805537489
"8_B",0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,-0.404677904530048,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088,0.622925723210088
"8_B_USLB",0.755415026360469,0.755415026360469,0.755415026360469,0.755415026360469,0.755415026360469,0.755415026360469,0.0388027917126338,-0.420925445446881,0.755415026360469,0.755415026360469,-0.00895236341744226,0.0597170997853229,0.0597170997853229,0.755415026360469
"9_ALL",-2.69010952715886,-1.43953147093846,-2.51495487780253,-2.30034695572788,-0.268784868605126,-2.39397979981851,-0.0567279552952647,-0.0627067779432138,0.795727436444596,-1.17379738802468,1.5292984400032,-2.02509955252457,-2.02509955252457,-3.03807430492421
"9_B",0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993
"9_B_USLB",0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248,-0.0806575641468489,0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248,0.460387514048248
"10_ALL",-2.15768435752287,-1.30217332172415,-1.68051507958823,-1.73166439612225,1.31623482602334,-1.70553206071861,0.507356414285685,0.828932052171107,1.31623482602334,1.31623482602334,1.11631875983284,-1.50108594604402,-1.50108594604402,-2.22337570994309
"10_B",0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993,0.244113577670993
