"","SCORE","PARAMETER"
"CLINGEN+DECIPHER_hg19",1.46523379268552,"1_30_0.004_N_NA"
"CLINGEN_Pathogenic_hg19",1.01622173274056,"1_30_0.006_N_NA"
"CooperPaper_hg19",1.98075239664728,"1_30_0.004_N_NA"
"DECIPHER_hg19",1.59321881802305,"1_30_0.004_N_NA"
"HIgenes_hg19",0.819154251121989,"1_30_0.004_N_NA"
"MMS_hg19",1.7543819658836,"1_30_0.004_N_NA"
"MorbidMap_hg19",0.778103606929222,"1_30_0.006_N_NA"
"OMIM_AllGenes_hg19",-0.159828880703271,"1_30_0.001_N_NA"
"OMIM_Dominant_hg19",-0.159828880703271,"1_30_0.001_N_NA"
"OMIM_OMI_hg19",2.41182229588333,"1_30_0.004_N_NA"
"OMIM_Recessive_hg19",0.751451543849005,"1_30_0.006_N_NA"
"Primary_CNVs_10MB_hg19",1.1407637392346,"1_30_0.004_N_NA"
"Primary_CNVs_hg19",1.1407637392346,"1_30_0.004_N_NA"
"ReportedCNVs_hg19",1.35756052928403,"1_30_0.004_N_NA"
"AVERAGE",0.505255833771958,"1_30_0.004_N_NA"
