"","SCORE","PARAMETER"
"CLINGEN+DECIPHER_hg19",0.452659911230046,"1_30_0.004_N_NA"
"CLINGEN_Pathogenic_hg19",0.452659911230046,"1_30_0.004_N_NA"
"CooperPaper_hg19",0.355490417839531,"1_30_0.006_N_NA"
"DECIPHER_hg19",0.589455797849779,"1_30_0.004_N_NA"
"HIgenes_hg19",2.14759388355604,"1_30_0.006_N_NA"
"MMS_hg19",2.14759388355604,"1_30_0.006_N_NA"
"MorbidMap_hg19",0.508488059109357,"1_30_0.006_N_NA"
"OMIM_AllGenes_hg19",1.12190046746235,"1_30_0.006_N_NA"
"OMIM_Dominant_hg19",0.951659212322711,"1_30_0.006_N_NA"
"OMIM_OMI_hg19",0.0397982539778593,"1_30_0.006_N_NA"
"OMIM_Recessive_hg19",2.14759388355604,"1_30_0.006_N_NA"
"Primary_CNVs_10MB_hg19",0.819154251121989,"1_30_0.004_N_NA"
"Primary_CNVs_hg19",0.819154251121989,"1_30_0.004_N_NA"
"ReportedCNVs_hg19",2.14759388355604,"1_30_0.006_N_NA"
"AVERAGE",0.996570368825193,"1_30_0.006_N_NA"
