CHR_PATHOGENICvsBENIGN	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM
CHR1_CooperPaper_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	18812009	5180485	44267701	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	27202140	2858540	54979777	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	7066601	2035957	35666821	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	16396383	258386	46774174	16396383
CHR1_MMS_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	23921412	2586137	51971452	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	47081806	3662509	74055474	30636177
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	10433026	59061	41010142	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	20842788	109762	51369203	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	118550	40898	30713829	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	47081806	3662509	74055474	30636177
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	14988693	2546541	43078329	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	14541819	2366485	42811511	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	18829385	325652	49139910	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_10_ALL_GAIN.txt	30636177	95036163	1738589	123933751	30636177
CHR1_CooperPaper_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	18812009	1175686	20135992	2499669
CHR1_ReportedCNVs_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	27202140	1094680	28607129	2499669
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	7066601	716316	8849954	2499669
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	16396383	0	18896052	2499669
CHR1_MMS_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	23921412	901148	25519933	2499669
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	47081806	797322	48784153	2499669
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	10433026	5979	12926716	2499669
CHR1_HIgenes_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	20842788	0	23342457	2499669
CHR1_OMIM_OMI_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	118550	0	2618219	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	47081806	797322	48784153	2499669
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	14988693	1094680	16393682	2499669
CHR1_DECIPHER_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	14541819	953821	16087667	2499669
CHR1_MorbidMap_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	18829385	13546	21315508	2499669
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_10_ALL_LOSS.txt	2499669	95036163	13546	97522286	2499669
CHR1_CooperPaper_hg19.BEDvsCHR1_10_B_GAIN.txt	2605055	18812009	573313	20843751	2605055
CHR1_ReportedCNVs_hg19.BEDvsCHR1_10_B_GAIN.txt	2605055	27202140	159595	29647600	2605055
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_10_B_GAIN.txt	2605055	7066601	158809	9512847	2605055
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_10_B_GAIN.txt	2605055	16396383	0	19001438	2605055
CHR1_MMS_hg19.BEDvsCHR1_10_B_GAIN.txt	2605055	23921412	139126	26387341	2605055
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_10_B_GAIN.txt	2605055	47081806	158809	49528052	2605055
