CHR_PATHOGENICvsBENIGN	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	18812009	17221633	158826330	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	27202140	21723265	162714829	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	7066601	6613575	157688980	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	16396383	10400861	163231476	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	23921412	19068529	162088837	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	47081806	34231544	170086216	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	10433026	6954586	160714394	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	20842788	12449865	165628877	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	118550	82054	157272450	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	47081806	34231544	170086216	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	14988693	12935093	159289554	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	14541819	12531185	159246588	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	18829385	13181622	162883717	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	157235954	95036163	64967206	187304911	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	18812009	17221633	158826330	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	27202140	21723265	162714829	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	7066601	6613575	157688980	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	16396383	10400861	163231476	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	23921412	19068529	162088837	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	47081806	34231544	170086216	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	10433026	6954586	160714394	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	20842788	12449865	165628877	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	118550	82054	157272450	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	47081806	34231544	170086216	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	14988693	12935093	159289554	14988693
